Date,2023-09-30 00:00:00,2022-09-24 00:00:00,2021-09-25 00:00:00,2020-09-26 00:00:00,2019-09-28 00:00:00,2018-09-29 00:00:00,2017-09-30 00:00:00,2016-09-24 00:00:00,2015-09-26 00:00:00,2014-09-27 00:00:00,2013-09-28 00:00:00,2012-09-29 00:00:00,2011-09-24 00:00:00,2010-09-25 00:00:00,2009-09-26 00:00:00,2008-09-27 00:00:00,2007-09-29 00:00:00,2006-09-30 00:00:00,2005-09-24 00:00:00
Revenue,383285000000,394328000000,365817000000,274515000000,260174000000,265595000000,229234000000,215639000000,233715000000,182795000000,170910000000,156508000000,108249000000,65225000000,36537000000,32479000000,24006000000,19315000000,13931000000
Cost Of Revenue,214137000000,223546000000,212981000000,169559000000,161782000000,163756000000,141048000000,131376000000,140089000000,112258000000,106606000000,87846000000,64431000000,39541000000,23397000000,21334000000,15852000000,13717000000,9888000000
Gross Profit,169148000000,170782000000,152836000000,104956000000,98392000000,101839000000,88186000000,84263000000,93626000000,70537000000,64304000000,68662000000,43818000000,25684000000,13140000000,11145000000,8154000000,5598000000,4043000000
Gross Profit Ratio,0.4413112958,0.4330963056,0.4177935963,0.3823324773,0.3781776811,0.3834371882,0.3846986049,0.3907595565,0.4005990202,0.3858803578,0.3762448072,0.4387123981,0.4047889588,0.3937753929,0.359635438,0.3431448013,0.3396650837,0.2898265597,0.2902160649
Research And Development Expenses,29915000000,26251000000,21914000000,18752000000,16217000000,14236000000,11581000000,10045000000,8067000000,6041000000,4475000000,3381000000,2429000000,1782000000,1333000000,1109000000,782000000,712000000,534000000
Selling General And Administrative Expenses,24932000000,25094000000,21973000000,19916000000,18245000000,16705000000,15261000000,14194000000,14329000000,11993000000,10830000000,10040000000,7599000000,5517000000,4149000000,3761000000,2963000000,2433000000,1859000000
    General And Administrative Expenses,0,0,0,0,0,0,0,0,0,0,9730000000,9040000000,0,0,0,0,0,0,0
    Selling And Marketing Expenses,0,0,0,0,0,0,0,0,0,0,1100000000,1000000000,0,0,0,0,0,0,0
Other Expenses,382000000,228000000,-60000000,87000000,-422000000,441000000,133000000,1195000000,903000000,431000000,324000000,566000000,-104000000,-156000000,-81000000,-33000000,-48000000,-29000000,-18000000
Operating Expenses,55229000000,51573000000,43827000000,38755000000,34040000000,31382000000,26975000000,25434000000,23299000000,18465000000,15629000000,13987000000,10028000000,7299000000,5482000000,4870000000,3745000000,3145000000,2393000000
Cost And Expenses,269366000000,275119000000,256808000000,208314000000,195822000000,195138000000,168023000000,156810000000,163388000000,130723000000,122235000000,73859000000,74459000000,46840000000,28879000000,26204000000,19597000000,16862000000,12281000000
Ebitda,125820000000,130541000000,120233000000,77344000000,76477000000,81801000000,71501000000,70529000000,82487000000,61813000000,55756000000,58518000000,35604000000,19412000000,8361000000,6748000000,4726000000,3043000000,1829000000
Ebitdaratio,0.3282674772,0.3310467428,0.3286697994,0.2817478098,0.2939455903,0.3079914908,0.311912718,0.3270697787,0.3529384079,0.3381547635,0.3262301796,0.3738978199,0.3289083502,0.2976159448,0.2288365219,0.2077650174,0.1968674498,0.1575459487,0.1312899289
Interest Expense,3933000000,2931000000,2645000000,2873000000,3576000000,3240000000,2323000000,1456000000,733000000,384000000,136000000,-522000000,-415000000,-155000000,-326000000,-620000000,-599000000,-365000000,-165000000
Depreciation And Amortization,11519000000,11104000000,11284000000,11056000000,11300000000,9300000000,9400000000,9800000000,11257000000,7946000000,6757000000,3277000000,1814000000,1027000000,703000000,473000000,317000000,225000000,179000000
Operating Income,114301000000,119437000000,108949000000,66288000000,63930000000,70898000000,61344000000,62567000000,71230000000,52503000000,50479000000,55241000000,33790000000,18385000000,7658000000,6275000000,4409000000,2453000000,1650000000
Operating Income Ratio,0.2982141227,0.302887444,0.2978237753,0.2414731435,0.2457201719,0.2669402662,0.2676042821,0.2901469586,0.3047729072,0.2872233923,0.29535428,0.3529595931,0.3121506896,0.2818704484,0.2095957523,0.1932017611,0.1836624177,0.1269997411,0.1184408872
Total Other Income Expenses Net,-565000000,-334000000,258000000,803000000,1807000000,2005000000,2745000000,1348000000,1285000000,980000000,1156000000,522000000,415000000,155000000,326000000,620000000,599000000,365000000,165000000
Income Before Tax,113736000000,119103000000,109207000000,67091000000,65737000000,72903000000,64089000000,61372000000,72515000000,53483000000,50155000000,55763000000,34205000000,18540000000,7984000000,6895000000,5008000000,2818000000,1815000000
Income Before Tax Ratio,0.2967400237,0.3020404333,0.2985290459,0.2443983025,0.2526655238,0.2744893541,0.2795789455,0.2846052894,0.3102710566,0.2925845893,0.2934585454,0.3562948859,0.3159844433,0.2842468379,0.2185182144,0.2122910188,0.208614513,0.1458969713,0.130284976
Income Tax Expense,16741000000,19300000000,14527000000,9680000000,10481000000,13372000000,15738000000,15685000000,19121000000,13973000000,13118000000,14030000000,8283000000,4527000000,2280000000,2061000000,1512000000,829000000,480000000
Net Income,96995000000,99803000000,94680000000,57411000000,55256000000,59531000000,48351000000,45687000000,53394000000,39510000000,37037000000,41733000000,25922000000,14013000000,5704000000,4834000000,3495000000,1989000000,1328000000
Net Income Ratio,0.2530623426,0.2530964071,0.2588179336,0.2091361128,0.2123809451,0.2241420207,0.2109242085,0.2118679831,0.228457737,0.2161437676,0.2167046984,0.266650906,0.2394664154,0.2148409352,0.1561157183,0.1488346316,0.1455886028,0.1029769609,0.0953269686
Eps,6.16,6.15,5.67,3.31,2.99,3,2.32,2.09,2.32,1.62,1.43,1.59,1,0.55,0.23,0.2,0.14,0.0843,0.0586
Epsdiluted,6.13,6.11,5.61,3.28,2.97,2.98,2.3,2.08,2.31,1.61,1.42,1.58,0.99,0.54,0.22,0.19,0.14,0.0811,0.0554
Weighted Average Shs Out,15744231000,16215963000,16701272000,17352119000,18471336000,19821508000,20868968000,21883280000,23013684000,24342288000,25909268000,26174904000,25879224000,25464908000,25004448000,24684576000,24208660000,23633624000,22636292000
Weighted Average Shs Out Dil,15812547000,16325819000,16864919000,17528214000,18595652000,20000436000,21006768000,22001124000,23172276000,24490652000,26086536000,26469940000,26226060000,25891936000,25396140000,25259892000,24900176000,24570728000,23992584000
